condition,algorithm,action_space_size,cumulative_pseudo_regret,mean_pseudo_regret,successful_session_exit_rate,optimal_arm_selection_rate
LinUCB-A5,LinUCB,5,"AggregateMetric(mean=13.642283156496802, standard_deviation=3.4863836698769743, confidence_interval_95=(4.981626004524896, 22.302940308468706), num_replications=3)","AggregateMetric(mean=0.068211415782484, standard_deviation=0.01743191834938487, confidence_interval_95=(0.024908130022624486, 0.11151470154234353), num_replications=3)","AggregateMetric(mean=0.20666666666666667, standard_deviation=0.023094010767585035, confidence_interval_95=(0.1492979636033405, 0.26403536972999286), num_replications=3)","AggregateMetric(mean=0.40166666666666667, standard_deviation=0.06806859285554046, confidence_interval_95=(0.23257490816843954, 0.5707584251648938), num_replications=3)"
UCB1-A5,UCB1,5,"AggregateMetric(mean=22.309869048872702, standard_deviation=2.1554390383091486, confidence_interval_95=(16.95546164843008, 27.664276449315324), num_replications=3)","AggregateMetric(mean=0.11154934524436351, standard_deviation=0.010777195191545746, confidence_interval_95=(0.0847773082421504, 0.1383213822465766), num_replications=3)","AggregateMetric(mean=0.13333333333333333, standard_deviation=0.005773502691896263, confidence_interval_95=(0.11899115756750178, 0.14767550909916488), num_replications=3)","AggregateMetric(mean=0.21833333333333335, standard_deviation=0.00763762615825974, confidence_interval_95=(0.19936041816534955, 0.23730624850131715), num_replications=3)"
Static10-A5,Static10MinuteBaseline,5,"AggregateMetric(mean=23.56694658021321, standard_deviation=2.3894017598662236, confidence_interval_95=(17.63134356000692, 29.5025496004195), num_replications=3)","AggregateMetric(mean=0.11783473290106605, standard_deviation=0.011947008799331114, confidence_interval_95=(0.0881567178000346, 0.14751274800209752), num_replications=3)","AggregateMetric(mean=0.15000000000000002, standard_deviation=0.013228756555322956, confidence_interval_95=(0.11713794696135787, 0.18286205303864217), num_replications=3)","AggregateMetric(mean=0.26666666666666666, standard_deviation=0.02362907813126304, confidence_interval_95=(0.20796878258690113, 0.3253645507464322), num_replications=3)"
