condition,experiment_type,algorithm,action_space_size,cumulative_pseudo_regret,mean_pseudo_regret,successful_session_exit_rate,optimal_arm_selection_rate,convergence_index
LinUCB-A5,primary,LinUCB,5,"AggregateMetric(mean=102.8608413523561, standard_deviation=26.169860055112252, confidence_interval_95=(97.66817335815631, 108.0535093465559), num_replications=100)","AggregateMetric(mean=0.010286084135235612, standard_deviation=0.0026169860055112256, confidence_interval_95=(0.009766817335815633, 0.01080535093465559), num_replications=100)","AggregateMetric(mean=0.252946, standard_deviation=0.005721383247312337, confidence_interval_95=(0.25181075343741605, 0.25408124656258396), num_replications=100)","AggregateMetric(mean=0.7519490000000001, standard_deviation=0.06582538961663514, confidence_interval_95=(0.7388878146077893, 0.7650101853922109), num_replications=100)","AggregateMetric(mean=5627.9701492537315, standard_deviation=1800.3593325689621, confidence_interval_95=(5188.828002920355, 6067.112295587108), num_replications=67)"
UCB1-A5,primary,UCB1,5,"AggregateMetric(mean=684.9773805385563, standard_deviation=26.16868143064082, confidence_interval_95=(679.784946409022, 690.1698146680906), num_replications=100)","AggregateMetric(mean=0.06849773805385562, standard_deviation=0.0026168681430640828, confidence_interval_95=(0.06797849464090219, 0.06901698146680904), num_replications=100)","AggregateMetric(mean=0.191691, standard_deviation=0.005991729906523431, confidence_interval_95=(0.1905021107950149, 0.1928798892049851), num_replications=100)","AggregateMetric(mean=0.235811, standard_deviation=0.005426327422200885, confidence_interval_95=(0.23473429891440106, 0.23688770108559892), num_replications=100)",
Static10-A5,primary,Static10MinuteBaseline,5,"AggregateMetric(mean=1229.9010906992628, standard_deviation=11.67234416558084, confidence_interval_95=(1227.5850443834531, 1232.2171370150725), num_replications=100)","AggregateMetric(mean=0.12299010906992626, standard_deviation=0.0011672344165580837, confidence_interval_95=(0.1227585044383453, 0.12322171370150722), num_replications=100)","AggregateMetric(mean=0.138174, standard_deviation=0.0034320126909892267, confidence_interval_95=(0.13749301422404794, 0.13885498577595204), num_replications=100)","AggregateMetric(mean=0.25034300000000004, standard_deviation=0.004291317402675438, confidence_interval_95=(0.2494915095264974, 0.2511944904735027), num_replications=100)",
